,Цена,Год,Километраж,Количество дверей,Количество мест,Длина,Ширина,Высота,Максимальная скорость,Разгон до 100,Лошадиные силы,Обороты в минуту,Город_ekaterinburg,Город_moskva,Город_novosibirsk,Город_rostov-na-donu,Город_sankt-peterburg,Город_vladivostok,Класс автомобиля_B,Класс автомобиля_C,Класс автомобиля_D,Класс автомобиля_E,Класс автомобиля_F,Класс автомобиля_J,Класс автомобиля_M,Коробка передач_Автомат,Коробка передач_Вариатор,Коробка передач_Механика,Коробка передач_Робот,Тип привода_задний,Тип привода_передний,Тип привода_полный,Тип двигателя_Электро,Тип двигателя_бензиновый,Тип двигателя_гибридный,Тип двигателя_дизельный
114,2450000.0,2022.0,11000.0,5.0,5.0,4472.0,1841.0,1574.0,185.0,9.8,150.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
115,2270000.0,2023.0,10000.0,5.0,5.0,4472.0,1841.0,1574.0,185.0,9.8,150.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
116,3690000.0,2023.0,4000.0,5.0,5.0,4605.0,1878.0,1643.0,210.0,6.9,238.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
117,1830000.0,2020.0,71000.0,5.0,5.0,4335.0,1825.0,1660.0,164.0,14.0,117.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,3760000.0,2023.0,1000.0,4.0,5.0,4871.0,1862.0,1500.0,170.0,10.178483835005617,204.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
119,1710000.0,2019.0,120000.0,5.0,5.0,4620.0,1846.0,1690.0,180.0,11.0,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
120,1930000.0,2021.0,100000.0,5.0,5.0,4620.0,1846.0,1690.0,180.0,11.0,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
121,3170000.0,2023.0,24000.0,5.0,5.0,4620.0,1910.0,1780.0,180.0,10.0,192.0,6300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
122,2300000.0,2022.0,35000.0,5.0,5.0,4691.0,1866.0,1690.0,180.0,11.0,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
124,1750000.0,2020.0,121000.0,5.0,5.0,4640.0,1850.0,1705.0,180.0,8.39016393442623,150.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
125,2380000.0,2021.0,43000.0,5.0,5.0,4775.0,1885.0,1706.0,185.0,9.8,186.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
126,2580000.0,2021.0,11000.0,5.0,5.0,4544.0,1831.0,1713.0,188.03164556962025,10.178483835005611,177.0,5500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
127,1090000.0,2018.0,106000.0,5.0,5.0,4160.0,1810.0,1670.0,180.0,14.0,113.0,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
